OCC_NO,OCC_YEAR,OCC_DATE,CLASS_ID,OCC_TYPE,ACC_INC_TYPE,PROVINCE,LOCATION,TERRAIN_TYPE,FACILITY_NAME,FACILITY_TYPE,PIPELINE_CO,PIPELINE_TYPE_CO,PROD_RELEASED_IND,PRODUCT_TYPE,QUANTITY_LOST,DETECTION_METHOD,LOCATION_ON_PIPELINE,ENVIRO_DAMAGE_IND,PROPERTY_DAMAGE_IND,FIRE_IND,EXPLOSION_IND,NO_EVACUATED,FATALITIES,SERIOUS_INJURIES,PRODUCTION_DT
P12H0088,2012,2012-05-21,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,SASKATCHEWAN,STEELMAN,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,ENBRIDGE PIPELINES (WESTPUR) INC.,LVP,YES,PETROLEUM CRUDE OIL,0.01,PIPELINE EMPLOYEE,LINE 23A  MP 42.3363,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0089,2012,2012-05-13,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ONTARIO,RAMORE,STATION PROPERTY,COMPRESSOR STATION 105,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,OUTSIDE PARTY,FUEL REGULATOR,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0090,2012,2012-05-16,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ONTARIO,MATTICE,STATION PROPERTY,COMPRESSOR STATION 92,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,TUBING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0091,2012,2012-05-14,5,INCIDENT,METER STATION - UNCONTAINED RELEASE,ALBERTA,MEDICINE HAT,STATION PROPERTY,"COUSINS A, B & C SALES METER STATION",METER STATION,NOVA GAS TRANSMISSION (TRANSCANADA),GAS,YES,NATURAL GAS,1,PIPELINE EMPLOYEE,"STEM  FACILITY = COUSINS A, B & C SALES METER STATION",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0092,2012,2012-05-27,5,INCIDENT,METER STATION - OTHER,ALBERTA,FOX CREEK,STATION PROPERTY,KAYBOB SOUTH METER STATION,METER STATION,NOVA GAS TRANSMISSION (TRANSCANADA),GAS,NO,N/A,0,PIPELINE EMPLOYEE,BREAKER CABINET,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P12H0093,2012,2012-05-29,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ALBERTA,MANNING,STATION PROPERTY,TANGHE CREEK LATERAL LOOP,TRANSMISSION LINE,NOVA GAS TRANSMISSION (TRANSCANADA),GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0094,2012,2012-06-08,5,INCIDENT,COMPRESSOR STATION - OTHER,ONTARIO,BOWMANVILLE,STATION PROPERTY,COMPRESSOR STATION 134,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,NO,N/A,0,PIPELINE EMPLOYEE,CONTROL CABINET,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P12H0095,2012,2012-06-13,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,SASKATCHEWAN,CARON,STATION PROPERTY,COMPRESSOR STATION 13,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,TUBING 3/8 INCH,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0096,2012,2012-06-15,5,INCIDENT,METER STATION - UNCONTAINED RELEASE,NEW BRUNSWICK,PORT ELGIN,STATION PROPERTY,FREDERICTON METER (& PRS) STATION,METER STATION,MARITIMES AND NORTHEAST PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,FITTING 1/2 INCH,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0097,2012,2012-06-15,5,INCIDENT,METER STATION - UNCONTAINED RELEASE,NEW BRUNSWICK,BAIE VERTE,STATION PROPERTY,PORT ELGIN METER STATION,METER STATION,MARITIMES AND NORTHEAST PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,PLUG,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
